Exercise,Category,Weight_lbs,Reps,Volume
Barbell Bench Press,Push,60.0,8,480.0
Barbell Bench Press,Push,60.0,8,480.0
Barbell Bench Press,Push,55.0,10,550.0
Barbell Bench Press,Push,55.0,10,550.0
Barbell Bench Press,Push,55.0,10,550.0
Barbell Bench Press,Push,55.0,10,550.0
Barbell Bench Press,Push,55.0,10,550.0
Barbell Bench Press,Push,55.0,12,660.0
Barbell Bench Press,Push,55.0,12,660.0
Barbell Bench Press,Push,57.5,10,575.0
Barbell Bench Press,Push,57.5,10,575.0
Barbell Bench Press,Push,57.5,10,575.0
Barbell Bench Press,Push,57.5,10,575.0
Barbell Bench Press,Push,57.5,11,632.5
Barbell Bench Press,Push,57.5,11,632.5
Barbell Bench Press,Push,57.5,11,632.5
Barbell Bench Press,Push,65.0,4,260.0
Barbell Bench Press,Push,65.0,4,260.0
Barbell Bench Press,Push,65.0,4,260.0
Barbell Bench Press,Push,65.0,4,260.0
Barbell Bench Press,Push,65.0,3,195.0
Barbell Bench Press,Push,65.0,3,195.0
Barbell Bench Press,Push,65.0,3,195.0
Barbell Bench Press,Push,62.5,5,312.5
